Date,深證成指,滬深300,恆生指數,美國標普500,美國納指,上證綜指,國企指數,歐洲斯托克50,恆生科技指數
7/5/2022,10.39%,9.49%,2.59%,-6.81%,-5.77%,6.74%,3.96%,-11.24%,9.22%
7/4/2022,10.94%,9.63%,2.48%,-6.96%,-7.50%,6.78%,4.03%,-8.52%,9.68%
7/1/2022,9.78%,8.98%,2.62%,-6.96%,-7.50%,6.26%,4.28%,-8.64%,9.40%
6/30/2022,9.99%,9.39%,2.62%,-8.01%,-8.39%,6.58%,4.28%,-8.45%,9.40%
6/29/2022,8.65%,7.96%,3.24%,-7.13%,-7.05%,5.48%,4.64%,-6.75%,10.76%
6/28/2022,10.88%,9.51%,5.14%,-7.06%,-7.02%,6.89%,7.20%,-5.75%,14.08%
6/27/2022,9.67%,8.47%,4.30%,-5.03%,-4.00%,6.01%,6.22%,-6.05%,13.47%
6/24/2022,8.57%,7.35%,1.97%,-4.73%,-3.28%,5.13%,3.79%,-6.21%,8.87%
6/23/2022,7.25%,6.19%,-0.10%,-7.74%,-6.57%,4.25%,1.59%,-8.99%,4.90%
6/22/2022,5.19%,4.49%,-1.35%,-8.69%,-8.17%,2.64%,-0.14%,-8.17%,2.65%
6/21/2022,6.48%,5.77%,1.24%,-8.56%,-8.03%,3.84%,2.74%,-7.32%,7.11%
6/20/2022,6.99%,5.88%,-0.62%,-10.98%,-10.51%,4.10%,0.73%,-8.02%,4.93%
6/17/2022,5.72%,5.38%,-1.04%,-10.98%,-10.51%,4.14%,0.30%,-8.93%,4.84%
6/16/2022,4.57%,4.01%,-2.13%,-11.20%,-11.93%,3.19%,-1.18%,-9.23%,2.54%
6/15/2022,4.20%,4.67%,0.06%,-7.89%,-7.76%,3.80%,1.45%,-6.23%,5.92%
6/14/2022,3.73%,3.35%,-1.07%,-9.34%,-10.23%,3.30%,-0.16%,-7.87%,3.60%
6/13/2022,3.54%,2.57%,-1.07%,-8.96%,-10.40%,2.28%,-0.07%,-7.08%,3.66%
6/10/2022,3.55%,3.74%,2.37%,-5.01%,-5.61%,3.18%,3.53%,-4.36%,8.49%
6/9/2022,1.63%,2.24%,2.66%,-2.05%,-2.02%,1.77%,3.49%,-0.94%,6.89%
6/8/2022,3.46%,3.29%,3.32%,0.35%,0.76%,2.53%,4.45%,0.78%,8.33%
6/7/2022,2.93%,2.32%,1.11%,1.44%,1.50%,1.86%,1.65%,1.25%,3.68%
6/6/2022,2.98%,2.01%,1.67%,0.49%,0.56%,1.69%,2.08%,2.08%,3.73%
6/3/2022,0.69%,0.16%,-1.00%,0.18%,0.15%,0.42%,-1.07%,0.64%,-0.81%
6/2/2022,0.69%,0.16%,-1.00%,1.83%,2.65%,0.42%,-1.07%,0.94%,-0.81%
