Date,深證成指,滬深300,恆生指數,美國標普500,美國納指,上證綜指,國企指數,歐洲斯托克50,恆生科技指數
5/5/2022,-12.01%,-5.52%,-3.35%,-6.19%,-10.01%,-4.69%,-3.99%,-4.98%,-7.11%
5/4/2022,-12.69%,-5.37%,-2.98%,-2.56%,-4.89%,-5.37%,-3.71%,-4.21%,-6.97%
5/3/2022,-12.69%,-5.37%,-1.87%,-5.50%,-8.03%,-5.37%,-1.91%,-3.25%,-3.63%
5/2/2022,-12.69%,-5.37%,-1.93%,-5.98%,-8.25%,-5.37%,-1.48%,-4.01%,-2.23%
4/29/2022,-12.69%,-5.37%,-1.93%,-6.55%,-9.87%,-5.37%,-1.48%,-2.15%,-2.23%
4/28/2022,-16.51%,-7.76%,-5.87%,-2.85%,-5.61%,-7.74%,-6.83%,-2.83%,-11.72%
4/27/2022,-15.79%,-8.42%,-7.51%,-5.30%,-8.63%,-8.32%,-8.76%,-3.96%,-13.86%
4/26/2022,-19.66%,-11.32%,-7.56%,-5.51%,-8.62%,-10.78%,-9.33%,-4.31%,-15.52%
4/25/2022,-17.53%,-10.51%,-7.89%,-2.65%,-4.58%,-9.33%,-10.27%,-3.34%,-18.35%
4/22/2022,-10.83%,-5.44%,-4.10%,-3.22%,-5.86%,-4.07%,-6.05%,-1.17%,-13.36%
4/21/2022,-10.32%,-5.88%,-3.88%,-0.41%,-3.29%,-4.30%,-6.20%,1.09%,-13.63%
4/20/2022,-7.16%,-4.02%,-2.62%,1.08%,-1.19%,-2.01%,-4.26%,0.30%,-10.09%
4/19/2022,-5.43%,-2.46%,-2.23%,1.14%,0.04%,-0.66%,-3.29%,-1.41%,-9.55%
4/18/2022,-5.32%,-1.70%,0.08%,-0.45%,-2.10%,-0.61%,-0.30%,-0.95%,-5.68%
4/15/2022,-5.75%,-1.16%,0.08%,-0.43%,-1.96%,-0.12%,-0.30%,-0.95%,-5.68%
4/14/2022,-4.73%,-1.09%,0.08%,-0.43%,-1.96%,0.33%,-0.30%,-0.95%,-5.68%
4/13/2022,-5.83%,-2.34%,-0.59%,0.79%,0.21%,-0.88%,-1.26%,-1.49%,-6.88%
4/12/2022,-4.07%,-1.37%,-0.85%,-0.32%,-1.80%,-0.05%,-1.95%,-1.40%,-7.33%
4/11/2022,-5.87%,-3.30%,-1.37%,0.02%,-1.50%,-1.50%,-2.72%,-1.18%,-8.72%
4/8/2022,-2.48%,-0.16%,1.71%,1.72%,0.70%,1.14%,1.11%,-0.70%,-3.34%
4/7/2022,-2.16%,-0.68%,1.42%,1.99%,2.05%,0.67%,1.18%,-2.17%,-2.18%
4/6/2022,-0.24%,0.61%,2.66%,1.56%,1.99%,2.10%,2.68%,-1.57%,0.33%
4/5/2022,-0.24%,0.90%,4.55%,2.54%,4.24%,2.08%,4.79%,0.83%,4.22%
4/4/2022,-0.24%,0.90%,4.55%,3.80%,6.52%,2.08%,4.79%,1.68%,4.22%
4/1/2022,-0.24%,0.90%,2.47%,3.00%,4.64%,2.08%,1.73%,0.85%,-1.07%
3/31/2022,-0.71%,-0.36%,2.28%,2.66%,4.35%,1.15%,1.58%,0.44%,-0.32%
3/30/2022,0.22%,0.39%,3.34%,4.23%,5.90%,1.59%,2.69%,1.88%,1.08%
3/29/2022,-2.30%,-2.47%,1.96%,4.86%,7.12%,-0.35%,1.41%,2.96%,0.75%
3/28/2022,-1.73%,-2.13%,0.85%,3.65%,5.29%,-0.02%,-0.15%,0.05%,-1.74%
3/25/2022,-0.91%,-1.50%,-0.45%,2.93%,3.99%,-0.09%,-1.68%,-0.45%,-4.32%
3/24/2022,0.53%,0.32%,2.05%,2.43%,4.15%,1.09%,1.61%,-0.57%,0.79%
3/23/2022,1.41%,0.91%,2.99%,1.01%,2.24%,1.73%,3.03%,-0.42%,3.78%
3/22/2022,0.87%,0.41%,1.79%,2.24%,3.56%,1.38%,1.75%,1.04%,1.75%
3/21/2022,1.28%,0.50%,-1.31%,1.12%,1.63%,1.19%,-2.23%,-0.09%,-3.48%
3/18/2022,0.56%,0.66%,-0.41%,1.16%,2.03%,1.11%,-0.56%,0.44%,-1.94%
