Date,BTC 指數,WTI 原油,Brent 布蘭特原油,金(每百oz),銅(每磅),天然氣 (MMBtu)
213,1/12/2023,0.0776,0.0126,0.0163,0.0105,0.0073,0.006500000000000001
212,1/11/2023,0.0051,0.03,0.0316,0.0014000000000000002,0.0215,0.0088
211,1/10/2023,0.0146,0.006500000000000001,0.005600000000000001,-0.0006,0.0126,-0.0718
210,1/9/2023,0.0183,0.0116,0.0137,0.0045000000000000005,0.0291,0.0525
209,1/6/2023,0.0026,0.0014000000000000002,-0.0015,0.0154,0.0233,-0.0027
208,1/5/2023,0.0031,0.0113,0.0109,-0.0096,0.0213,-0.11470000000000001
207,1/4/2023,0.0087,-0.0546,-0.0533,0.0070999999999999995,-0.0069,0.0451
206,1/3/2023,0.0032,-0.0424,-0.0454,0.010700000000000001,-0.0116,-0.1152
205,1/2/2023,0.0,0.0,0.0,0.0,0.0,0.0
204,12/30/2022,0.0007000000000000001,0.023399999999999997,0.0434,0.0001,-0.0034999999999999996,-0.018600000000000002
203,12/29/2022,0.0008,-0.0070999999999999995,-0.0121,0.005699999999999999,-0.0021,-0.032400000000000005
202,12/28/2022,-0.0045000000000000005,-0.0072,-0.0128,-0.0040999999999999995,-0.0004,-0.1148
201,12/27/2022,-0.0088,-0.0004,0.0049,0.0103,0.008,0.0392
200,12/26/2022,0.0,0.0,0.0,0.0,0.0,0.0
199,12/23/2022,0.0012,0.0264,0.035699999999999996,0.0049,0.013600000000000001,0.0159
198,12/22/2022,-0.0001,-0.0103,-0.015,-0.016399999999999998,-0.0144,-0.0645
197,12/21/2022,-0.0048,0.0285,0.0273,0.0001,0.0022,0.0011
196,12/20/2022,0.015700000000000002,0.011899999999999999,0.0024,0.0152,0.0038,-0.094
195,12/19/2022,-0.015700000000000002,0.012,0.0096,-0.0014000000000000002,0.005699999999999999,-0.12050000000000001
194,12/16/2022,-0.0322,-0.0242,-0.0271,0.0069,-0.0004,-0.0545
